Countries,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2007,2149511558.28,251421813.55,22292114745.00,231943371.38,45295626512.00,3427734336.65,8031906316.00,95553839497.05,32894236713.00,7730837413.15
2008,2480394931.28,310619959.75,27170819686.00,604274701.28,50398915527.42,3851548080.93,7081712225.00,109914854864.29,39487047265.09,10017790975.81
2009,1187066587.87,644631792.82,24623898564.00,997337786.08,40361510737.32,3196418035.15,5838429441.00,82340968312.13,32490608008.00,8554799400.97
2010,1096169746.88,313480778.32,33347510079.00,1151833526.07,50395722113.03,4194081160.46,11557640365.00,107672854603.10,44317939586.97,10350948467.43
2011,1733545901.80,416875059.34,42098872453.00,1039812503.01,56098290975.10,4498592023.69,8635262829.00,133868287832.42,54044916355.10,13583279292.77
2012,2104147108.29,344533607.49,41831097108.00,904677178.33,60946905138.94,4388465942.74,9804383326.00,133723672160.89,56730467212.03,17072818323.26
2013,2644351256.62,526747575.44,40629958093.00,1345553121.00,63947537527.08,5458821003.78,8614870247.00,137946095741.86,59320500621.55,18178909656.43
2014,2093000403.09,362196061.84,39668109515.00,1390791152.38,65238638750.23,4360031216.96,9211672966.00,130198685479.34,59425801805.88,18260518404.49
2015,1239487950.86,689537414.38,33572259230.00,1578003166.42,56169117492.86,4462331394.99,8536878729.00,107802942469.90,55165005681.54,18063708960.85
2016,1216841338.12,870181539.27,33830310393.64,1550739192.29,55681072529.49,3347985687.11,8400632626.00,99374897452.76,54656995421.30,17289055326.77
