Countries,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2007,1053400289.40,2392135133.29,50681296430.00,134642694.95,109594437989.00,1376050656.56,42638623731.00,197722089975.45,114973142805.80,46249094159.34
2008,1306620663.83,2817716506.66,88205644043.00,312369393.93,109623482965.47,2066687282.73,42328901693.00,246783742145.89,147679275246.98,60102394701.74
2009,1195413075.53,2447586041.53,69086764303.00,244183885.34,91630244912.35,1783962663.64,33972872643.00,187232119040.22,107010123047.00,55664186168.68
2010,1202569438.32,3099266744.68,88538565850.00,348894276.31,119905258230.49,2014667515.57,41958813440.00,238150892414.59,150284146356.24,68431031870.27
2011,1393995624.84,3892778887.59,126135371024.00,724865023.06,135299478014.36,3894616732.88,48669085477.00,294051647097.16,189316395717.69,85839684407.90
2012,2071039282.85,4701155967.30,137866115663.00,913017161.45,141529176209.02,4794879346.84,50432485043.00,305583767926.37,204967579195.40,92407991386.23
2013,1768174533.06,5393347454.57,132597675078.00,934859448.28,150774717916.34,7289889842.30,50959269513.00,309870503184.92,205168986631.12,110756915988.29
2014,1828910471.10,6743594197.66,127275680670.00,966166375.57,155124175916.63,9131966728.99,52300040239.00,302144731903.20,184652848185.43,123148444872.15
2015,1832794860.90,7120101941.71,112662226895.00,999537548.57,129332156022.00,9838307470.61,53144155973.45,243223386823.76,161679340207.84,141902493322.65
2016,1379809110.98,7757326754.41,100835539551.00,1054705010.67,126981238742.93,9785985066.30,63440246658.00,229176248955.73,155065900831.23,150593360907.56
