Countries,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2007,5503729585.99,3654112537.83,91808776006.00,149932426.04,130910012620.00,2505648227.87,42433817603.00,205744567393.67,120676889455.00,40558080793.60
2008,7787569637.85,4047922605.19,109849604716.00,223436317.48,144096995851.45,2769011505.23,41943679687.00,229960305383.09,135479612238.22,51760056295.01
2009,5964903471.75,4341165646.82,91886093217.00,239819932.09,116529360837.34,3145044115.80,32496226090.00,187804332966.66,120006594581.00,48136232314.71
2010,7741009066.36,3512421879.14,124431593391.00,756911130.44,148216418478.66,3676987235.76,39874063040.00,245569756897.83,148980202354.23,61885714671.38
2011,10706961693.52,4704183600.30,161397753955.00,858209380.37,171987725560.03,2920312907.30,39406930377.00,282333763405.23,168534207222.36,83322394684.23
2012,11076453500.75,4813665054.36,148200748124.00,692458271.79,166597172105.31,3986349916.45,42190854662.00,281890275042.53,172798810974.17,97437915377.74
2013,8801222926.26,6139117838.92,141921840604.00,1642218675.00,164275857427.24,5774069749.59,45363397661.00,281990626460.14,169409723517.58,114485184543.07
2014,8491140910.79,6386467618.40,136311877473.00,1181409848.69,168688710398.48,6670610704.40,52889946227.00,285179152722.73,168147779779.92,129830982208.54
2015,5114436134.25,7868172750.47,116709997665.35,1407095098.52,142988823165.91,7142841613.51,50111498875.00,250102916436.48,159231229182.56,143950143075.15
2016,3656949069.43,9202947364.05,111355900852.78,1573437878.33,133733270108.91,8161343488.96,47912256586.00,238708278088.49,160669628629.45,159286022499.75
