Countries,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2007,2096676507.95,3675105782.58,74473430118.00,711134387.90,146910345573.00,2789136365.60,55513743221.00,264351399948.91,139965680000.00,61693559172.78
2008,2506715442.26,4417012349.83,129197306224.00,1803227736.24,144298808016.36,3794866901.43,56645579919.00,321925578167.94,177567521711.00,79579172697.19
2009,2450525143.37,3900854001.33,96829162576.00,1724980199.01,123330483046.54,3849865740.68,45533945732.00,246390120279.13,133769638809.00,69230878007.49
2010,2436976675.51,4775283267.02,135663284048.00,1836634490.03,164622220396.63,3995553628.71,58228623983.00,313075454800.60,182927118863.02,84838551843.52
2011,2942794310.91,6099428179.69,177435555736.00,2582095399.61,187473071897.45,7813819430.67,63709401563.00,372552661806.68,228779449367.92,106749853577.00
2012,3674064917.96,7466600654.06,191689471527.00,2597521432.49,196398313175.76,8798340423.83,65386398980.00,385818010178.85,247772619700.31,113282543338.16
2013,3611831135.96,8211596310.85,186628669880.00,3552279809.89,205796088300.23,12042580067.11,65130621977.00,388051938555.91,249517122352.09,132109868917.00
2014,3596559221.70,9659414710.95,178178816605.00,4452378889.38,208850490861.39,16226066527.17,68704471282.00,377914807003.59,227952299984.88,145685582251.61
2015,3238238232.94,11797437902.86,142694804223.00,3778391654.09,176010810015.45,16843599148.66,70186126905.94,308097903590.89,202751163890.55,165729897695.00
2016,2670234410.11,12371008196.28,135652816501.00,4107069163.76,168392295586.07,15695682979.18,85935069197.00,291909402952.97,194667538413.89,174463420421.00
