Countries,Brunei Darussalam,Cambodia,Indonesia,Lao PDR,Malaysia,Myanmar,Philippines,Singapore,Thailand,Viet Nam
2007,1043276218.54,1282970649.29,23792133688.00,576491692.95,37315907584.00,1413085709.04,12875119490.00,66629309973.46,24992537194.20,15444465013.44
2008,1200094778.44,1599295843.17,40991662181.00,1490858342.32,34675325050.89,1728179618.70,14316678226.00,75141836022.05,29888246464.02,19476777995.45
2009,1255112067.84,1453267959.80,27742398273.00,1480796313.67,31700238134.19,2065903077.04,11561073089.00,59158001238.91,26759515762.00,13566691838.82
2010,1234407237.19,1676016522.33,47124718198.00,1487740213.71,44716962166.13,1980886113.14,16269810543.00,74924562386.01,32642972506.79,16407519973.25
2011,1548798686.07,2206649292.10,51300184712.00,1857230376.55,52173593883.09,3919202697.79,15040316086.00,78501014709.52,39463053650.23,20910169169.10
2012,1603025635.11,2765444686.76,53823355864.00,1684504271.04,54869136966.74,4003461076.99,14953913937.00,80234242252.49,42805040504.91,20874551951.93
2013,1843656602.89,2818248856.28,54030994802.00,2617420361.61,55021370383.90,4752690224.81,14171352464.00,78181435370.99,44348135720.97,21352952928.71
2014,1767648750.60,2915820513.29,50903135935.00,3486212513.81,53726314944.76,7094099798.19,16404431043.00,75770075100.40,43299451799.45,22537137379.46
2015,1405443372.04,4677335961.15,30032577328.00,2778854105.52,46678653993.46,7005291678.05,17041970932.49,64874516767.13,41071823682.71,23827404372.35
2016,1290425299.13,4613681441.87,34817276950.00,3052364153.09,41411056843.14,5909697912.88,22494822539.00,62733153997.24,39601637582.66,23870059513.45
